Date,CT_site,effort_class,Conservancy,X,Y,closed_lc,agri_lc,distance_to_water,popdens_log,precip
10/10/2018,NB22,1,Naboisho,750637.6879,9846154.748,0.442396313,0,0.15,2.844930945,0.156402592
10/10/2018,NB23,1,Naboisho,752636.3003,9846151.839,0.304147465,0,0.39115213,2.51275779,0.156402592
10/10/2018,NB24,1,Naboisho,754611.0674,9846143.618,0.716894977,0,1.276322876,2.446042469,0.156402592
10/10/2018,NB25,1,Naboisho,756629.8054,9846154.623,0.726415094,0,0.595483032,2.311160838,0.156402592
10/10/2018,NB26,1,Naboisho,758672.951,9846137.811,0.170506912,0,0.45,2.42473137,0.156402592
10/10/2018,NB27,1,Naboisho,760640.4191,9846146.715,0.9543379,0,0.632850647,2.203738469,0.156402592
10/10/2018,NB28,1,Naboisho,762700.26,9846146.692,0.013761468,0,0.600749512,2.40861545,0.156402592
10/10/2018,NB29,1,Naboisho,764656.8491,9846171.832,0.292237443,0,1.351332642,2.668195748,0.352382653
10/10/2018,NB30,1,Naboisho,750658.2772,9848153.527,0.292237443,0,0.349857117,2.430462345,0.077724455
10/10/2018,NB33,1,Naboisho,756661.1459,9848172.379,0.070422535,0,0.553172668,2.498835986,0.077724455
10/10/2018,NB34,1,Naboisho,758669.1965,9848164.234,0.598130841,0,0.78230426,2.535582784,0.077724455
10/10/2018,NB35,1,Naboisho,760668.246,9848166.756,0.799086758,0,0.21840329,2.42255327,0.077724455
10/10/2018,NB36,1,Naboisho,762648.2335,9848164.645,0.045454545,0,0.766615967,2.47886657,0.077724455
10/10/2018,NB37,1,Naboisho,764675.3167,9848280.301,0.178082192,0,0.797119812,2.541690693,0.1168251
10/10/2018,NB38,1,Naboisho,766669.912,9848184.463,0.223744292,0,0.597745728,2.66056504,0.1168251
10/10/2018,NB42,1,Naboisho,762639.0722,9850167.911,0,0,0.700357056,2.723757212,0.077724455
10/10/2018,NB43,1,Naboisho,764654.5329,9850180.526,0.182648402,0,0.632850647,2.725958684,0.1168251
10/10/2018,NB44,1,Naboisho,766663.1571,9850189.62,0.831050228,0,0.593969727,2.690087434,0.1168251
10/10/2018,NB46,1,Naboisho,766639.7615,9852187.503,0.383561644,0,0.268328156,2.454816346,0.1168251
10/10/2018,NB47,1,Naboisho,768630.2545,9852176.431,0.596330275,0,0.108166534,2.059897607,0.1168251
10/10/2018,NB49,1,Naboisho,766677.616,9854102.023,0.142857143,0,0.3,2.334279081,0.1168251
10/10/2018,NB50,1,Naboisho,768652.3296,9854170.571,0.009302326,0,0.57078894,2.275215066,0.1168251
11/10/2018,NB01,1,Naboisho,756662.9267,9838183.315,0.582159624,0,0.456946381,2.357317536,0.051021578
11/10/2018,NB02,1,Naboisho,754649.5239,9840221.108,0.273148148,0,0.067082039,2.298088813,0.051021578
11/10/2018,NB03,1,Naboisho,756637.184,9840179.28,0.813636364,0,0.75,2.135646508,0.051021578
11/10/2018,NB04,1,Naboisho,758637.3355,9840160.339,1,0,0.445982056,2.344344046,0.051021578
11/10/2018,NB05,1,Naboisho,760649.1095,9840173.239,0.191780822,0,0.416773315,2.840648049,0.051021578
