"","Date","CT_site","effort_class","Conservancy","X","Y","closed_lc","agri_lc","distance_to_water","popdens_log","precip"
"1",2018-10-05,"NB05",1,"Naboisho",760649.109482402,9840173.23923805,0.191780821917808,0,0.416773315429687,2.84064804859353,0
"2",2018-10-05,"NB19",1,"Naboisho",762646.182324789,9844155.40226378,0.490909090909091,0,0.715611633300781,2.70334368632306,0
"3",2018-10-05,"NB20",1,"Naboisho",764648.867562136,9844164.86972588,0.990867579908676,0,1.03097045898437,2.91339243042088,0
"4",2018-10-05,"NB35",1,"Naboisho",760668.246038289,9848166.75599517,0.799086757990868,0,0.218403289794922,2.42255327023465,0
"5",2018-10-05,"NB37",1,"Naboisho",764675.316671586,9848280.30142914,0.178082191780822,0,0.797119812011719,2.54169069345638,0
"6",2018-10-05,"NB38",1,"Naboisho",766669.912044427,9848184.46349395,0.223744292237443,0,0.597745727539063,2.66056504002885,0
"7",2018-10-05,"NB44",1,"Naboisho",766663.157050146,9850189.62027783,0.831050228310502,0,0.5939697265625,2.69008743424901,0
"8",2018-10-05,"NB46",1,"Naboisho",766639.76149157,9852187.5026265,0.383561643835616,0,0.268328155517578,2.4548163458362,0
"9",2018-10-05,"NB47",1,"Naboisho",768630.254493402,9852176.43108222,0.596330275229358,0,0.108166534423828,2.05989760709529,0
"10",2018-10-06,"NB01",1,"Naboisho",756662.92672668,9838183.31505847,0.582159624413146,0,0.456946380615234,2.35731753602641,0.0061988832840143
"11",2018-10-06,"NB02",1,"Naboisho",754649.523893927,9840221.1079558,0.273148148148148,0,0.0670820388793945,2.2980888126774,0.0061988832840143
"12",2018-10-06,"NB04",1,"Naboisho",758637.335532159,9840160.33898825,1,0,0.445982055664063,2.34434404552322,0.0061988832840143
"13",2018-10-06,"NB05",1,"Naboisho",760649.109482402,9840173.23923805,0.191780821917808,0,0.416773315429687,2.84064804859353,0.0061988832840143
"14",2018-10-06,"NB06",1,"Naboisho",752666.90482485,9842161.76323226,0.631336405529954,0,0.21,2.87764332359474,0.0061988832840143
"15",2018-10-06,"NB09",1,"Naboisho",758668.471052766,9842149.25078336,0.977064220183486,0,0.637808776855469,2.32612915096033,0.0061988832840143
"16",2018-10-06,"NB10",1,"Naboisho",760631.73629263,9842165.86003437,0.559090909090909,0,0.513517272949219,2.75762770265448,0.0061988832840143
"17",2018-10-06,"NB11",1,"Naboisho",762651.946910568,9842154.07740937,0.622727272727273,0,0.108166534423828,2.93909721005524,0.0061988832840143
"18",2018-10-06,"NB12",1,"Naboisho",764665.040513977,9842160.5971928,0.495412844036697,0,1.05342309570312,3.15526243281314,0.0119209285003308
"19",2018-10-06,"NB17",1,"Naboisho",758656.491642432,9844157.69794995,0.781818181818182,0,0.60074951171875,2.23965324031891,0.0061988832840143
"20",2018-10-06,"NB18",1,"Naboisho",760639.300142443,9844167.8257959,0.82648401826484,0,0.759539306640625,2.40158473165121,0.0061988832840143
"21",2018-10-06,"NB19",1,"Naboisho",762646.182324789,9844155.40226378,0.490909090909091,0,0.715611633300781,2.70334368632306,0.0061988832840143
"22",2018-10-06,"NB20",1,"Naboisho",764648.867562136,9844164.86972588,0.990867579908676,0,1.03097045898437,2.91339243042088,0.0119209285003308
"23",2018-10-06,"NB26",1,"Naboisho",758672.95103285,9846137.8107359,0.170506912442396,0,0.45,2.42473137012821,0.0061988832840143
"24",2018-10-06,"NB27",1,"Naboisho",760640.419054119,9846146.71472871,0.954337899543379,0,0.632850646972656,2.2037384690988,0.0061988832840143
"25",2018-10-06,"NB28",1,"Naboisho",762700.259971176,9846146.69223556,0.0137614678899083,0,0.60074951171875,2.40861545019457,0.0061988832840143
"26",2018-10-06,"NB34",1,"Naboisho",758669.196466759,9848164.23385357,0.598130841121495,0,0.782304260253906,2.53558278433683,0.0157356262207031
"27",2018-10-06,"NB35",1,"Naboisho",760668.246038289,9848166.75599517,0.799086757990868,0,0.218403289794922,2.42255327023465,0.0157356262207031
"28",2018-10-06,"NB37",1,"Naboisho",764675.316671586,9848280.30142914,0.178082191780822,0,0.797119812011719,2.54169069345638,0.00190734868965592
"29",2018-10-06,"NB38",1,"Naboisho",766669.912044427,9848184.46349395,0.223744292237443,0,0.597745727539063,2.66056504002885,0.00190734868965592
"30",2018-10-06,"NB44",1,"Naboisho",766663.157050146,9850189.62027783,0.831050228310502,0,0.5939697265625,2.69008743424901,0.00190734868965592
"31",2018-10-06,"NB46",1,"Naboisho",766639.76149157,9852187.5026265,0.383561643835616,0,0.268328155517578,2.4548163458362,0.00190734868965592
"32",2018-10-06,"NB47",1,"Naboisho",768630.254493402,9852176.43108222,0.596330275229358,0,0.108166534423828,2.05989760709529,0.00190734868965592
"33",2018-10-07,"NB01",1,"Naboisho",756662.92672668,9838183.31505847,0.582159624413146,0,0.456946380615234,2.35731753602641,0.0305175790344947
"34",2018-10-07,"NB02",1,"Naboisho",754649.523893927,9840221.1079558,0.273148148148148,0,0.0670820388793945,2.2980888126774,0.0305175790344947
"35",2018-10-07,"NB04",1,"Naboisho",758637.335532159,9840160.33898825,1,0,0.445982055664063,2.34434404552322,0.0305175790344947
"36",2018-10-07,"NB05",1,"Naboisho",760649.109482402,9840173.23923805,0.191780821917808,0,0.416773315429687,2.84064804859353,0.0305175790344947
"37",2018-10-07,"NB06",1,"Naboisho",752666.90482485,9842161.76323226,0.631336405529954,0,0.21,2.87764332359474,0.0305175790344947
"38",2018-10-07,"NB09",1,"Naboisho",758668.471052766,9842149.25078336,0.977064220183486,0,0.637808776855469,2.32612915096033,0.0305175790344947
