"CT_site","Conservancy","X","Y","closed_lc","agri_lc","distance_to_water","popdens_log","n_days_sampled","livestock_pressure"
"MN29","Mara North",731424.997666243,9865104.44781068,0.00917431192660551,0,0.349857116699219,2.98940630715653,37,0.972972972972973
"MN30","Mara North",733363.087501572,9865185.07816607,0,0,0.977189819335938,2.86274141089267,37,0.405405405405405
"MN31","Mara North",735503.84346029,9865138.82630261,0.14027149321267,0,0.342052612304687,2.87072880955327,39,0.179487179487179
"MN32","Mara North",737441.439287968,9865261.38963334,0.195454545454545,0,0.349857116699219,2.96864452506136,20,0.15
"MN33","Mara North",739331.543496579,9865165.0388287,0.648401826484018,0,0.61773779296875,2.92793080667323,36,0
"MN34","Mara North",741499.127234692,9865339.70348212,0,0,0.844807678222656,3.65680085697824,39,0
"MN35","Mara North",743312.990857215,9865214.58356424,0.00469483568075117,0,0.670820373535156,3.58017199427438,29,0.793103448275862
"MN37","Mara North",731490.857203186,9867168.1638334,0,0,0.432666168212891,2.79702620078986,32,0.0625
"MN38","Mara North",733368.967745794,9867158.9090075,0,0,0.666108093261719,2.73025461530726,32,0.3125
"MN39","Mara North",735414.212424495,9866974.06092108,0,0,0.442944702148438,2.84373579233722,34,0.0882352941176471
"MN40","Mara North",737463.106617462,9867260.04551504,0.118181818181818,0,0.818840637207031,3.00091443052753,12,0
"MN41","Mara North",739371.216594796,9867183.3990727,0.132420091324201,0,1.06320275878906,3.04328212589722,12,0
"MN42","Mara North",741372.79927687,9867114.91150423,0.131221719457014,0,0.318904388427734,3.09554175434756,40,0.575
"MN43","Mara North",731354.882472941,9869170.56748913,0.648401826484018,0,0.859592956542969,2.91426864779942,23,0
"MN44","Mara North",733366.563407668,9869173.18463492,0,0,1.28825463867187,2.91413865024601,27,0.222222222222222
"MN45","Mara North",735354.229322078,9869188.20914261,0,0,0.907964782714844,2.88702261543834,33,0
"MN46","Mara North",739428.152853335,9868985.78577855,0.0136363636363636,0,0.39,3.16377094989439,37,0
"MN47","Mara North",737370.04973796,9869189.58289943,0.00909090909090909,0,0.576281188964844,3.08085037056438,10,0.4
"MN48","Mara North",733356.836904729,9871129.05239688,0.0410958904109589,0,0.92417529296875,2.9124999097149,22,0
"MN49","Mara North",735388.465424451,9871191.74074332,0.00909090909090909,0,1.07415087890625,3.16833189370831,15,0
"MN50","Mara North",737425.530727917,9871185.547532,0.102325581395349,0,1.30249755859375,3.4548840755794,30,0
"MT01","Mara Triangle",713519.012424915,9839643.12693739,0.0232558139534884,0,0.85802099609375,1.2836593181034,39,0
"MT02","Mara Triangle",715526.242143778,9839654.94485345,0,0,1.05385009765625,1.28092935073322,39,0.0256410256410256
"MT03","Mara Triangle",717514.63205549,9839646.36607591,0.0186046511627907,0,0.800499816894531,1.22768251122418,36,0
"MT04","Mara Triangle",719515.858710834,9839651.59104474,0.0985915492957746,0,1.09036694335938,1.24859001825388,10,0
"MT05","Mara Triangle",721541.876410757,9839639.0677316,0.10958904109589,0,1.35665026855469,1.4094046643901,39,0
"MT06","Mara Triangle",723541.511542487,9839647.5065264,0.0420560747663551,0,1.50986755371094,1.50697052224785,0,NA
"MT07","Mara Triangle",725532.199309013,9839650.61624662,0.0590909090909091,0,0.29698486328125,1.54594448130814,38,0
"MT08","Mara Triangle",727530.260451217,9839646.55150525,0.164319248826291,0,0.03,1.55554745620532,24,0
"MT09","Mara Triangle",713553.225230937,9841666.14643631,0.0276497695852535,0,0.898999450683594,1.42854386845276,9,0
"MT10","Mara Triangle",715543.589395872,9841634.23230267,0.00917431192660551,0,0.966074523925781,1.24438342742267,37,0
"MT11","Mara Triangle",717571.887151655,9841655.78714771,0.112676056338028,0,0.543323120117188,1.22975021645444,39,0
"MT12","Mara Triangle",719519.910593707,9841637.22008864,0.227906976744186,0,0.58249462890625,1.448359319728,12,0
"MT13","Mara Triangle",721539.026752352,9841642.90204763,0.0182648401826484,0,2.15081372070313,1.52914154199036,41,0
"MT14","Mara Triangle",723536.61943419,9841650.07692629,0.442922374429224,0,1.86024194335938,2.03981573202779,40,0
"MT15","Mara Triangle",725527.687244777,9841648.6603013,0.589041095890411,0,1.261427734375,2.17415928215116,21,0
"MT16","Mara Triangle",727522.306784231,9841648.36946971,0.0136363636363636,0,0.573149169921875,2.07054033058586,31,0
"MT17","Mara Triangle",711535.401086622,9843646.97606371,0.0737327188940092,0,1.26570141601563,1.61047410173916,25,0
"MT18","Mara Triangle",713527.750015242,9843650.04477522,0.0271493212669683,0,1.19549157714844,1.50587793880989,39,0
"MT19","Mara Triangle",715546.52072764,9843669.36969892,0.0730593607305936,0,2.563201171875,1.26442224463099,28,0
"MT20","Mara Triangle",717526.78910942,9843647.61706714,0.0454545454545455,0,1.27349914550781,1.30022754492542,39,0
"MT21","Mara Triangle",719525.620686572,9843655.549385,0.374429223744292,0,0.930483764648438,1.46304432898592,11,0
"MT22","Mara Triangle",721546.531816834,9843651.32309109,0.0228310502283105,0,0.61773779296875,1.63047898758797,28,0
"MT23","Mara Triangle",723515.870410042,9843647.93016664,0.419354838709677,0,0.87051708984375,2.34514688882496,39,0
"MT24","Mara Triangle",725529.04134972,9843636.71478976,0.293577981651376,0,0.366196655273437,2.61823297671605,31,0
"MT25","Mara Triangle",727532.233949857,9843766.51346773,0.557603686635945,0,0.03,2.11670325138055,37,0
"MT26","Mara Triangle",711394.403454703,9845654.63558789,0.0233644859813084,0,2.77949633789062,1.94305764499836,40,0.025
"MT27","Mara Triangle",713530.641527363,9845648.45878236,0,0,1.52970581054688,1.68008340029375,40,0
"MT28","Mara Triangle",715568.857105049,9845702.83490564,0.0136986301369863,0,2.25858374023437,1.45234058425796,31,0
"MT29","Mara Triangle",717530.075901089,9845641.31510918,0,0,2.53300219726562,1.4031145923124,25,0
"MT30","Mara Triangle",719505.953886075,9845666.12370383,0.0769230769230769,0,1.27561755371094,1.62056258169204,25,0
"MT31","Mara Triangle",721539.1401098,9845652.69534354,0.123853211009174,0,0.534134826660156,1.67512996781007,32,0
"MT33","Mara Triangle",725553.365088825,9845676.59764322,0.630841121495327,0,0.174928558349609,3.71218877383285,37,0
"MT35","Mara Triangle",713549.781469268,9847722.80751109,0,0,0.603738342285156,2.1080678718805,41,0
"MT36","Mara Triangle",715426.621123596,9847607.79262956,0,0,1.35665026855469,1.82371471385852,35,0
"MT37","Mara Triangle",717621.951283104,9847641.40669703,0.00454545454545455,0,0.980866943359375,1.4521390012351,40,0
"MT38","Mara Triangle",719486.007275972,9847661.43636872,0.211267605633803,0,1.21490734863281,1.41961742988778,30,0
"MT39","Mara Triangle",721549.25304297,9847665.77707249,0.195454545454545,0,0.0670820388793945,1.60553468075665,15,0
"MT40","Mara Triangle",711570.333057391,9849595.50533989,0.0045662100456621,0,1.41031909179688,2.67682008988267,41,0
"MT41","Mara Triangle",713493.824034836,9849644.94706455,0.186046511627907,0,2.47822509765625,2.4507171770124,26,0
"MT42","Mara Triangle",715582.674088875,9849583.25736282,0.0921658986175115,0,1.93214904785156,1.90243750749871,41,0
"MT43","Mara Triangle",717530.744496441,9849625.40122557,0,0,1.78443273925781,1.67961267960365,11,0
"MT44","Mara Triangle",719545.092760885,9849609.55656596,0.0330188679245283,0,1.48006762695312,1.53572433564071,41,0
"MT45","Mara Triangle",721335.883889248,9849566.76659638,0.773755656108597,0,0.15,1.51786108990363,16,0
"MT46","Mara Triangle",711575.799854728,9851644.22398659,0.12962962962963,0,0.844807678222656,3.20548753450071,26,0
"MT47","Mara Triangle",713518.67064342,9851644.57407566,0,0,0.670820373535156,3.06118492430615,41,0
"MT48","Mara Triangle",715633.622104594,9851766.81437091,0.105022831050228,0,1.89190380859375,2.28554303052529,41,0
"MT49","Mara Triangle",717528.801318646,9851642.87358283,0.780821917808219,0,2.81440942382812,1.90739377545489,12,0
"MT50","Mara Triangle",719601.976413447,9851642.7551087,0.607305936073059,0,1.200375,1.71998445883188,0,NA
