id,meanAnnualTemp,seasonalityPrecip,cloudCoverAnnualVar,topoRugged,summerEVI,winterEVI,siltContent,clayContent,sandContent
2308304192,2775.0,642.0,1828.1068115234375,47.689353942871094,2873.346435546875,1990.5308837890625,336.5653076171875,89.43976593017578,573.9949340820312
2305928604,2843.0,789.0,1324.1463623046875,21.900436401367188,5259.50830078125,3974.105712890625,468.4263610839844,278.7117614746094,252.86187744140625
1702720083,2796.0,579.0,1231.6180419921875,44.357181549072266,4692.71337890625,3281.993408203125,413.8994445800781,128.16195678710938,457.9385986328125
686483314,2801.0,633.0,2046.29296875,10.599576950073242,3937.78466796875,3043.234130859375,334.1344299316406,69.56104278564453,596.3045654296875
686483316,2823.0,631.0,1950.4366455078125,9.290708541870117,4386.248046875,3387.782470703125,385.4272155761719,172.20643615722656,442.3663330078125
686469391,2800.0,638.0,2137.9990234375,0.017807846888899803,1087.9227294921875,457.94500732421875,369.83294677734375,101.23892211914062,528.9281005859375
2308782150,2823.0,617.0,1509.447265625,6.984437942504883,4286.41943359375,2785.795166015625,364.432861328125,165.26791381835938,470.2991943359375
2307282053,2820.0,619.0,1867.45556640625,12.843778610229492,4856.6279296875,3706.251953125,358.8443908691406,94.53783416748047,546.6177978515625
2306257882,2799.0,803.0,1315.176513671875,38.83743667602539,3222.716552734375,2432.879638671875,273.7832336425781,127.1950912475586,599.0216674804688
1702678125,2841.0,713.0,1988.757080078125,35.11341857910156,4689.02392578125,2964.91455078125,420.35919189453125,340.283447265625,239.35736083984375
1702690525,2818.0,527.0,1881.4461669921875,41.009071350097656,1827.289794921875,501.44476318359375,428.3677062988281,149.1750030517578,422.457275390625
1702682305,2816.0,597.0,1546.527587890625,24.792499542236328,4697.6708984375,2938.237548828125,439.6888122558594,173.2457275390625,387.0654296875
2834574663,2828.0,626.0,1739.70068359375,21.57679557800293,5124.0400390625,4263.02783203125,444.675537109375,226.79908752441406,328.525390625
2330661769,2847.0,778.0,542.8193969726562,25.416608810424805,3583.20166015625,1773.601806640625,391.6610107421875,246.2525177001953,362.08648681640625
1702681982,2835.0,714.0,1987.29736328125,49.500205993652344,4532.88134765625,3301.050537109375,363.5813293457031,308.7582702636719,327.660400390625
2305971480,2817.0,613.0,2086.490234375,5.818172931671143,3791.837646484375,2888.0888671875,437.8466796875,140.81459045410156,421.3387451171875
1702720154,2798.0,334.0,1937.4556884765625,30.244863510131836,2810.61669921875,1998.9154052734375,468.27545166015625,160.63973999023438,371.0848388671875
2310827840,2834.0,607.0,1349.2645263671875,18.342262268066406,5276.384765625,3272.259765625,490.4331359863281,318.7636413574219,190.80322265625
1702720124,2775.0,642.0,1909.7664794921875,8.198115348815918,2786.544921875,1922.2650146484375,305.1224365234375,90.8604965209961,604.01708984375
1640033131,2843.0,792.0,580.1483764648438,10.25804328918457,4294.25390625,3296.21240234375,374.6844787597656,246.2667694091797,379.04876708984375
1807299064,2820.0,648.0,1789.2850341796875,49.55440139770508,4497.5439453125,3504.2109375,387.29217529296875,205.27993774414062,407.4278564453125
1668837573,2788.0,638.0,1957.0233154296875,20.502714157104492,2306.85205078125,1547.5867919921875,262.02734375,87.38455200195312,650.588134765625
2366037424,2824.0,742.0,2196.842529296875,15.883390426635742,3540.709716796875,2688.339111328125,266.5269470214844,114.48583984375,618.9871826171875
2992775519,2831.0,468.0,1591.0338134765625,7.9877214431762695,4241.61962890625,2745.730224609375,442.8110656738281,194.20254516601562,362.98638916015625
2999074931,2807.0,655.0,1884.2916259765625,16.19754409790039,3509.35107421875,2261.828857421875,362.3721008300781,127.62094116210938,510.0069580078125
2543092874,2808.0,585.0,1971.1044921875,2.695899248123169,2208.07080078125,1876.6778564453125,263.96759033203125,158.45684814453125,577.5755615234375
1847528366,2846.0,828.0,745.8605346679688,5.424647808074951,3041.3818359375,2616.59228515625,532.8853759765625,256.707763671875,210.4068603515625
1572355755,2785.0,734.0,1921.937255859375,93.55801391601562,1599.5523681640625,760.7960815429688,227.71484375,53.789730072021484,718.4954223632812
1145351259,2739.0,714.0,1628.494873046875,21.811119079589844,2634.871337890625,849.9644165039062,374.718017578125,60.90776443481445,564.3742065429688
3008409745,2805.0,483.0,1759.96533203125,4.861600875854492,2376.486572265625,2761.76806640625,324.9959411621094,126.88286590576172,548.1212158203125
2397623796,2852.0,582.0,1783.2158203125,3.9793851375579834,3384.12353515625,2092.480712890625,544.1117553710938,263.99658203125,191.89166259765625
2963927725,2855.0,732.0,1115.403076171875,29.471126556396484,4686.6474609375,2584.0,424.9322509765625,243.92645263671875,331.14129638671875
2423038872,2846.0,692.0,721.385986328125,17.85804557800293,4240.17431640625,2540.209716796875,237.21875,156.3125,606.46875
1586142199,2798.0,806.0,2112.44189453125,54.16357421875,3732.387451171875,2365.7705078125,342.24884033203125,162.5724639892578,495.1787109375
2802970536,2819.0,600.0,1901.3953857421875,3.791050672531128,2395.427978515625,2566.101318359375,382.22479248046875,135.21473693847656,482.56048583984375
1831156376,2795.0,613.0,2097.864013671875,25.50038719177246,4598.22900390625,3348.541748046875,389.5947570800781,76.75086975097656,533.6543579101562
2273312677,2796.0,505.0,1213.9412841796875,88.6219253540039,2615.384033203125,721.3381958007812,384.2723693847656,66.25736236572266,549.4702758789062
2802630360,2844.0,606.0,1372.6141357421875,10.57716178894043,4719.68701171875,3120.649658203125,348.4104919433594,163.58470153808594,488.00482177734375
3018014942,2835.0,555.0,1133.34423828125,11.585798263549805,3153.341064453125,2342.897216796875,324.1364440917969,146.9565887451172,528.906982421875
2005292537,2817.0,600.0,1213.2520751953125,51.91080856323242,4502.74658203125,4184.4580078125,421.4701843261719,165.2344970703125,413.2952880859375
2860140795,2849.0,844.0,1599.2847900390625,28.0828857421875,5228.611328125,4318.248046875,445.0808410644531,227.63018798828125,327.2889404296875
3079781394,2862.0,858.0,2151.08642578125,30.018293380737305,5052.70751953125,4163.1650390625,385.6491394042969,301.1191711425781,313.231689453125
3044813659,2794.0,496.0,1268.16064453125,70.47396850585938,3928.99951171875,1418.2412109375,343.4513244628906,97.17152404785156,559.3771362304688
2864793564,2833.0,447.0,1478.434326171875,9.804439544677734,4996.1796875,2713.0771484375,491.9286804199219,158.4883575439453,349.58294677734375
1677340991,2794.0,607.0,1876.1412353515625,11.885246276855469,1717.9407958984375,1051.5242919921875,354.2568359375,60.44789123535156,585.2952880859375
