lon,lat,species,id
-105.48915,33.63342,Lasiurus_cinereus,1229665813
-64.762294,44.071528,Lasiurus_cinereus,2465270542
-100.690695,31.228695,Lasiurus_cinereus,2804492525
-112.694825,33.933081,Lasiurus_cinereus,1847466070
-106.833191,31.604444,Lasiurus_cinereus,1890042957
-99.733333,21.1,Lasiurus_cinereus,1418250077
-107.97625,33.04486,Lasiurus_cinereus,1145295566
-99.5,21.279833,Lasiurus_cinereus,1418250942
-100.388583,41.852401,Lasiurus_cinereus,1145152874
-118.195556,33.839722,Lasiurus_cinereus,3090920592
-71.626463,42.470322,Lasiurus_cinereus,2641342250
-93.2011753517692,44.95880502857163,Lasiurus_cinereus,897105996
-114.117601,38.87599,Lasiurus_cinereus,2423037403
-118.120088,34.791905,Lasiurus_cinereus,3112355058
-108.025893,33.184063,Lasiurus_cinereus,1145306776
-82.51844,41.962772,Lasiurus_cinereus,1978859889
-107.696714,28.195777,Lasiurus_cinereus,2366111885
-82.775647,39.801982,Lasiurus_cinereus,2963859541
-99.205386,19.246181,Lasiurus_cinereus,3301909772
-90.442941,47.726642,Lasiurus_cinereus,2445015868
-80.413669,35.552857,Lasiurus_cinereus,1836597287
-75.65,45.3,Lasiurus_cinereus,1804075741
-106.121375,28.612608,Lasiurus_cinereus,1671725903
-107.99324,32.89375999913916,Lasiurus_cinereus,1455543071
-106.49769,28.77958,Lasiurus_cinereus,1837094192
-102.017642,19.442065,Lasiurus_cinereus,1229614438
-90.946655,37.50531,Lasiurus_cinereus,2265884623
-101.894004,35.401273,Lasiurus_cinereus,2804500076
-80.34078,43.37732,Lasiurus_cinereus,1135340381
-104.045983,41.15925,Lasiurus_cinereus,3042309217
-98.596802,19.457199,Lasiurus_cinereus,2629095017
-116.19283,35.801724,Lasiurus_cinereus,3039377170
-117.041945,33.043333,Lasiurus_cinereus,3112280443
-111.732332,33.360024,Lasiurus_cinereus,3312333340
-103.678558,43.766644,Lasiurus_cinereus,48052392
-75.499901,43.000347,Lasiurus_cinereus,1990799857
-100.504311,48.527596,Lasiurus_cinereus,665739008
-88.99361,40.48417,Lasiurus_cinereus,621073084
-89.643707,39.801716,Lasiurus_cinereus,665876139
-79.592947,43.832719,Lasiurus_cinereus,1270736421
-96.522499,17.341389,Lasiurus_cinereus,911667763
-122.93569,48.09452,Lasiurus_cinereus,1702678333
-99.772003,30.417,Lasiurus_cinereus,911670373
-94.891998,29.231001,Lasiurus_cinereus,911702455
-99.81,18.527222,Lasiurus_cinereus,1418244008
-100.141153,25.231949,Lasiurus_cinereus,1052606459
-115.492,31.0167,Lasiurus_cinereus,1414987564
-106.3,35.22,Lasiurus_cinereus,1414132180
-95.363213,29.763229,Lasiurus_cinereus,911700715
-111.87562,40.743008,Lasiurus_cinereus,1291146113
