"Date","CT_site","effort_class"
2018-10-06,"MN12",NA
2018-10-06,"MN13",NA
2018-10-06,"MN14",NA
2018-10-06,"MN15",NA
2018-10-06,"MN16",NA
2018-10-06,"MN17",NA
2018-10-06,"MN18",NA
2018-10-06,"MN19",NA
2018-10-06,"MN20",NA
2018-10-06,"MN21",NA
2018-10-06,"MN22",NA
2018-10-06,"MN23",NA
2018-10-06,"MN24",NA
2018-10-06,"MN25",NA
2018-10-06,"MN26",NA
2018-10-06,"MN27",NA
2018-10-06,"MN29",NA
2018-10-06,"MN30",NA
2018-10-06,"MN31",NA
2018-10-06,"MN32",NA
2018-10-06,"MN33",NA
2018-10-06,"MN34",NA
2018-10-06,"MN35",NA
2018-10-06,"MN37",NA
2018-10-06,"MN38",NA
2018-10-06,"MN39",NA
2018-10-06,"MN40",NA
2018-10-06,"MN41",NA
2018-10-06,"MN42",NA
2018-10-06,"MN43",NA
2018-10-06,"MN44",NA
2018-10-06,"MN45",NA
2018-10-06,"MN46",NA
2018-10-06,"MN47",NA
2018-10-06,"MN48",NA
2018-10-06,"MN49",NA
2018-10-06,"MN50",NA
2018-10-06,"MT01",NA
2018-10-06,"MT02",NA
2018-10-06,"MT03",NA
2018-10-06,"MT04",NA
2018-10-06,"MT05",NA
2018-10-06,"MT07",NA
2018-10-06,"MT08",NA
2018-10-06,"MT09",NA
2018-10-06,"MT10",NA
2018-10-06,"MT11",NA
2018-10-06,"MT12",NA
2018-10-06,"MT13",NA
2018-10-06,"MT14",NA
2018-10-06,"MT15",NA
2018-10-06,"MT16",NA
2018-10-06,"MT17",NA
2018-10-06,"MT18",NA
2018-10-06,"MT19",NA
2018-10-06,"MT20",NA
2018-10-06,"MT21",NA
2018-10-06,"MT22",NA
2018-10-06,"MT23",NA
2018-10-06,"MT24",NA
2018-10-06,"MT25",NA
2018-10-06,"MT26",NA
2018-10-06,"MT27",NA
2018-10-06,"MT28",NA
2018-10-06,"MT29",NA
2018-10-06,"MT30",NA
2018-10-06,"MT31",NA
2018-10-06,"MT32",NA
2018-10-06,"MT33",NA
2018-10-06,"MT34",NA
2018-10-06,"MT35",NA
2018-10-06,"MT36",NA
2018-10-06,"MT37",NA
2018-10-06,"MT38",NA
2018-10-06,"MT39",NA
2018-10-06,"MT40",NA
2018-10-06,"MT41",NA
2018-10-06,"MT42",NA
2018-10-06,"MT43",NA
2018-10-06,"MT44",NA
2018-10-06,"MT45",NA
2018-10-06,"MT46",NA
2018-10-06,"MT47",NA
2018-10-06,"MT48",NA
2018-10-06,"MT49",NA
2018-10-06,"OMC01",NA
2018-10-06,"OMC02",NA
2018-10-06,"OMC03",NA
2018-10-06,"OMC04",NA
2018-10-06,"OMC05",NA
2018-10-06,"OMC06",NA
2018-10-06,"OMC07",NA
2018-10-06,"OMC09",NA
2018-10-06,"OMC10",NA
2018-10-06,"OMC11",NA
2018-10-06,"OMC12",NA
2018-10-06,"OMC13",NA
2018-10-06,"OMC15",NA
2018-10-06,"OMC16",NA
2018-10-06,"OMC17",NA
2018-10-06,"OMC18",NA
2018-10-06,"OMC19",NA
2018-10-06,"OMC21",NA
2018-10-06,"OMC22",NA
2018-10-06,"OMC23",NA
2018-10-06,"OMC24",NA
2018-10-06,"OMC25",NA
2018-10-06,"OMC26",NA
2018-10-06,"OMC27",NA
2018-10-06,"OMC28",NA
2018-10-06,"OMC29",NA
2018-10-06,"OMC30",NA
2018-10-06,"OMC31",NA
2018-10-06,"OMC32",NA
2018-10-06,"OMC33",NA
2018-10-06,"OMC34",NA
2018-10-06,"OMC36",NA
2018-10-06,"OMC37",NA
2018-10-06,"OMC38",NA
2018-10-06,"NB01",1
2018-10-06,"NB02",1
2018-10-06,"NB03",0
2018-10-06,"NB04",1
2018-10-06,"NB05",1
2018-10-06,"NB06",1
2018-10-06,"NB07",0
2018-10-06,"NB08",0
2018-10-06,"NB09",1
2018-10-06,"NB10",1
2018-10-06,"NB11",1
2018-10-06,"NB12",1
2018-10-06,"NB14",0
2018-10-06,"NB15",0
2018-10-06,"NB16",0
2018-10-06,"NB17",1
2018-10-06,"NB18",1
2018-10-06,"NB19",1
2018-10-06,"NB20",1
2018-10-06,"NB21",0
2018-10-06,"NB22",0
2018-10-06,"NB23",0
2018-10-06,"NB24",0
2018-10-06,"NB25",0
2018-10-06,"NB26",1
2018-10-06,"NB27",1
2018-10-06,"NB28",1
2018-10-06,"NB29",0
2018-10-06,"NB30",0
2018-10-06,"NB31",0
2018-10-06,"NB32",0
2018-10-06,"NB33",0
2018-10-06,"NB34",1
2018-10-06,"NB35",1
2018-10-06,"NB36",0
2018-10-06,"NB37",1
2018-10-06,"NB38",1
2018-10-06,"NB39",0
2018-10-06,"NB40",0
2018-10-06,"NB41",0
2018-10-06,"NB42",0
2018-10-06,"NB43",0
2018-10-06,"NB44",1
2018-10-06,"NB45",0
2018-10-06,"NB46",1
2018-10-06,"NB47",1
2018-10-06,"NB48",0
2018-10-06,"NB49",0
2018-10-06,"NB50",0
2018-10-07,"MN02",NA
2018-10-07,"MN04",NA
2018-10-07,"MN05",NA
2018-10-07,"MN06",NA
2018-10-07,"MN07",NA
2018-10-07,"MN08",NA
2018-10-07,"MN09",NA
2018-10-07,"MN10",NA
2018-10-07,"MN11",NA
2018-10-07,"MN12",NA
2018-10-07,"MN13",NA
2018-10-07,"MN14",NA
2018-10-07,"MN15",NA
2018-10-07,"MN16",NA
2018-10-07,"MN17",NA
2018-10-07,"MN18",NA
2018-10-07,"MN19",NA
2018-10-07,"MN20",NA
2018-10-07,"MN21",NA
2018-10-07,"MN22",NA
2018-10-07,"MN23",NA
2018-10-07,"MN24",NA
2018-10-07,"MN25",NA
2018-10-07,"MN26",NA
2018-10-07,"MN27",NA
2018-10-07,"MN29",NA
2018-10-07,"MN30",NA
2018-10-07,"MN31",NA
2018-10-07,"MN32",NA
2018-10-07,"MN33",NA
2018-10-07,"MN34",NA
2018-10-07,"MN35",NA
2018-10-07,"MN37",NA
2018-10-07,"MN38",NA
2018-10-07,"MN39",NA
2018-10-07,"MN40",NA
2018-10-07,"MN41",NA
2018-10-07,"MN42",NA
2018-10-07,"MN43",NA
2018-10-07,"MN44",NA
2018-10-07,"MN45",NA
2018-10-07,"MN46",NA
2018-10-07,"MN47",NA
2018-10-07,"MN48",NA
2018-10-07,"MN49",NA
2018-10-07,"MN50",NA
2018-10-07,"MT01",NA
2018-10-07,"MT02",NA
2018-10-07,"MT03",NA
2018-10-07,"MT04",NA
2018-10-07,"MT05",NA
2018-10-07,"MT07",NA
2018-10-07,"MT08",NA
2018-10-07,"MT09",NA
2018-10-07,"MT10",NA
2018-10-07,"MT11",NA
2018-10-07,"MT12",NA
2018-10-07,"MT13",NA
2018-10-07,"MT14",NA
2018-10-07,"MT15",NA
2018-10-07,"MT16",NA
2018-10-07,"MT17",NA
2018-10-07,"MT18",NA
2018-10-07,"MT19",NA
2018-10-07,"MT20",NA
2018-10-07,"MT21",NA
2018-10-07,"MT22",NA
2018-10-07,"MT23",NA
2018-10-07,"MT24",NA
2018-10-07,"MT25",NA
2018-10-07,"MT26",NA
2018-10-07,"MT27",NA
2018-10-07,"MT28",NA
2018-10-07,"MT29",NA
2018-10-07,"MT30",NA
2018-10-07,"MT31",NA
2018-10-07,"MT32",NA
2018-10-07,"MT33",NA
2018-10-07,"MT34",NA
2018-10-07,"MT35",NA
2018-10-07,"MT36",NA
2018-10-07,"MT37",NA
2018-10-07,"MT38",NA
2018-10-07,"MT39",NA
2018-10-07,"MT40",NA
2018-10-07,"MT41",NA
2018-10-07,"MT42",NA
2018-10-07,"MT43",NA
2018-10-07,"MT44",NA
2018-10-07,"MT45",NA
2018-10-07,"MT46",NA
2018-10-07,"MT47",NA
2018-10-07,"MT48",NA
2018-10-07,"MT49",NA
2018-10-07,"OMC01",NA
2018-10-07,"OMC02",NA
2018-10-07,"OMC03",NA
2018-10-07,"OMC04",NA
2018-10-07,"OMC05",NA
2018-10-07,"OMC06",NA
2018-10-07,"OMC07",NA
2018-10-07,"OMC09",NA
2018-10-07,"OMC10",NA
2018-10-07,"OMC11",NA
2018-10-07,"OMC12",NA
2018-10-07,"OMC13",NA
2018-10-07,"OMC15",NA
2018-10-07,"OMC16",NA
2018-10-07,"OMC17",NA
2018-10-07,"OMC18",NA
2018-10-07,"OMC19",NA
2018-10-07,"OMC21",NA
2018-10-07,"OMC22",NA
2018-10-07,"OMC23",NA
2018-10-07,"OMC24",NA
2018-10-07,"OMC25",NA
2018-10-07,"OMC26",NA
2018-10-07,"OMC27",NA
2018-10-07,"OMC28",NA
2018-10-07,"OMC29",NA
2018-10-07,"OMC30",NA
2018-10-07,"OMC31",NA
2018-10-07,"OMC32",NA
2018-10-07,"OMC33",NA
2018-10-07,"OMC34",NA
2018-10-07,"OMC36",NA
2018-10-07,"OMC37",NA
2018-10-07,"OMC38",NA
2018-10-07,"NB01",1
2018-10-07,"NB02",1
2018-10-07,"NB03",0
2018-10-07,"NB04",1
2018-10-07,"NB05",1
2018-10-07,"NB06",1
2018-10-07,"NB07",0
2018-10-07,"NB08",0
2018-10-07,"NB09",1
2018-10-07,"NB10",1
2018-10-07,"NB11",1
2018-10-07,"NB12",1
2018-10-07,"NB14",0
2018-10-07,"NB15",0
2018-10-07,"NB16",0
2018-10-07,"NB17",1
2018-10-07,"NB18",1
2018-10-07,"NB19",1
2018-10-07,"NB20",1
2018-10-07,"NB21",1
2018-10-07,"NB22",1
2018-10-07,"NB23",0
2018-10-07,"NB24",0
2018-10-07,"NB25",0
2018-10-07,"NB26",1
2018-10-07,"NB27",1
2018-10-07,"NB28",1
2018-10-07,"NB29",0
2018-10-07,"NB30",1
2018-10-07,"NB31",0
2018-10-07,"NB32",0
2018-10-07,"NB33",0
2018-10-07,"NB34",1
2018-10-07,"NB35",1
2018-10-07,"NB36",0
2018-10-07,"NB37",1
2018-10-07,"NB38",1
2018-10-07,"NB39",0
2018-10-07,"NB40",0
2018-10-07,"NB41",0
2018-10-07,"NB42",0
2018-10-07,"NB43",0
2018-10-07,"NB44",1
2018-10-07,"NB45",0
2018-10-07,"NB46",1
2018-10-07,"NB47",1
2018-10-07,"NB48",0
2018-10-07,"NB49",0
2018-10-07,"NB50",0
2018-10-08,"MN02",NA
2018-10-08,"MN04",NA
2018-10-08,"MN05",NA
2018-10-08,"MN06",NA
2018-10-08,"MN07",NA
2018-10-08,"MN08",NA
2018-10-08,"MN09",NA
2018-10-08,"MN10",NA
2018-10-08,"MN11",NA
2018-10-08,"MN12",NA
2018-10-08,"MN13",NA
2018-10-08,"MN14",NA
2018-10-08,"MN15",NA
2018-10-08,"MN16",NA
2018-10-08,"MN17",NA
2018-10-08,"MN18",NA
2018-10-08,"MN19",NA
2018-10-08,"MN20",NA
2018-10-08,"MN21",NA
2018-10-08,"MN22",NA
2018-10-08,"MN23",NA
2018-10-08,"MN24",NA
2018-10-08,"MN25",NA
2018-10-08,"MN26",NA
2018-10-08,"MN27",NA
2018-10-08,"MN29",NA
2018-10-08,"MN30",NA
2018-10-08,"MN31",NA
2018-10-08,"MN32",NA
2018-10-08,"MN33",NA
2018-10-08,"MN34",NA
2018-10-08,"MN35",NA
2018-10-08,"MN37",NA
2018-10-08,"MN38",NA
2018-10-08,"MN39",NA
2018-10-08,"MN40",NA
2018-10-08,"MN41",NA
2018-10-08,"MN42",NA
2018-10-08,"MN43",NA
2018-10-08,"MN44",NA
2018-10-08,"MN45",NA
2018-10-08,"MN46",NA
2018-10-08,"MN47",NA
2018-10-08,"MN48",NA
2018-10-08,"MN49",NA
2018-10-08,"MN50",NA
2018-10-08,"MT01",NA
2018-10-08,"MT02",NA
2018-10-08,"MT03",NA
2018-10-08,"MT04",NA
2018-10-08,"MT05",NA
2018-10-08,"MT07",NA
2018-10-08,"MT08",NA
2018-10-08,"MT09",NA
2018-10-08,"MT10",NA
2018-10-08,"MT11",NA
2018-10-08,"MT12",NA
2018-10-08,"MT13",NA
2018-10-08,"MT14",NA
2018-10-08,"MT15",NA
2018-10-08,"MT16",NA
2018-10-08,"MT17",NA
2018-10-08,"MT18",NA
2018-10-08,"MT19",NA
2018-10-08,"MT20",NA
2018-10-08,"MT21",NA
2018-10-08,"MT22",NA
2018-10-08,"MT23",NA
2018-10-08,"MT24",NA
2018-10-08,"MT25",NA
2018-10-08,"MT26",NA
2018-10-08,"MT27",NA
2018-10-08,"MT28",NA
2018-10-08,"MT29",NA
2018-10-08,"MT30",NA
2018-10-08,"MT31",NA
2018-10-08,"MT32",NA
2018-10-08,"MT33",NA
2018-10-08,"MT34",NA
2018-10-08,"MT35",NA
2018-10-08,"MT36",NA
2018-10-08,"MT37",NA
2018-10-08,"MT38",NA
2018-10-08,"MT39",NA
2018-10-08,"MT40",NA
2018-10-08,"MT41",NA
2018-10-08,"MT42",NA
2018-10-08,"MT43",NA
2018-10-08,"MT44",NA
2018-10-08,"MT45",NA
2018-10-08,"MT46",NA
2018-10-08,"MT47",NA
2018-10-08,"MT48",NA
2018-10-08,"MT49",NA
2018-10-08,"OMC01",NA
2018-10-08,"OMC02",NA
2018-10-08,"OMC03",NA
2018-10-08,"OMC04",NA
2018-10-08,"OMC05",NA
2018-10-08,"OMC06",NA
2018-10-08,"OMC07",NA
2018-10-08,"OMC09",NA
2018-10-08,"OMC10",NA
2018-10-08,"OMC11",NA
2018-10-08,"OMC12",NA
2018-10-08,"OMC13",NA
2018-10-08,"OMC15",NA
2018-10-08,"OMC16",NA
2018-10-08,"OMC17",NA
2018-10-08,"OMC18",NA
2018-10-08,"OMC19",NA
2018-10-08,"OMC21",NA
2018-10-08,"OMC22",NA
2018-10-08,"OMC23",NA
2018-10-08,"OMC24",NA
2018-10-08,"OMC25",NA
2018-10-08,"OMC26",NA
2018-10-08,"OMC27",NA
2018-10-08,"OMC28",NA
2018-10-08,"OMC29",NA
2018-10-08,"OMC30",NA
2018-10-08,"OMC31",NA
2018-10-08,"OMC32",NA
2018-10-08,"OMC33",NA
2018-10-08,"OMC34",NA
2018-10-08,"OMC36",NA
2018-10-08,"OMC37",NA
